geoid,over_65,total
37113970700,1418,2978
55117010700,1417,3717
12057011616,1416,3778
12081000805,1416,3526
72127006800,1416,2870
04019004129,1415,1910
06013354002,1415,2850
06057000701,1415,2784
06111005205,1415,3060
06097151602,1414,1742
12101032005,1414,2169
42071010803,1413,2117
12103026811,1412,2533
53067011300,1412,2304
24033807410,1411,2381
32003005437,1411,2801
36081089201,1410,2807
12127083210,1409,2789
04021000204,1408,4333
12115002012,1408,1903
36059407900,1408,2379
04025001705,1407,2138
12009063108,1407,2267
04019004640,1406,2780
36081099100,1406,2881
39049009361,1406,2957
12099007773,1405,2399
26139021606,1405,2372
12069030915,1404,3654
12081002019,1404,3327
12099000301,1404,1956
20155000300,1404,3051
04025000211,1403,2669
12085001410,1402,2872
12099005954,1402,2046
12127090903,1402,2408
06097151601,1400,1601
12099005934,1400,2372
04013615500,1399,1782
04021000324,1399,2462
45019004616,1399,3406
12083000807,1398,1509
12099004817,1398,1980
12115002016,1398,2281
37089931000,1398,2670
45051040101,1398,2797
09140360200,1397,2905
01117030220,1396,2307
12111382016,1396,2723
17031818500,1396,2391
42071013303,1396,2200
48309002600,1396,2732
13255160202,1395,2140
12009064601,1394,3122
10005051008,1392,2081
12011010503,1392,6952
39085203500,1392,2721
47065010432,1392,3389
06065043505,1391,1824
06067007109,1389,1845
12057014017,1389,1606
12069031002,1387,2772
37109071102,1387,3102
72035260100,1387,3339
12033003603,1385,4782
12099007909,1385,1977
04013422652,1383,1520
06013334200,1383,2908
06057000802,1383,2806
12017450307,1383,2319
36061024100,1383,3264
36061009700,1382,2698
36061013400,1382,5596
48029172004,1382,4479
12017450103,1381,2038
12127090204,1381,3243
18003010304,1381,3505
25005644101,1380,2669
39169000800,1380,3452
06059099244,1379,1807
06075017801,1379,2381
24031705602,1379,2467
42079211400,1379,3182
04013420708,1378,2234
08031008389,1377,4592
09170165400,1377,2838
12085001601,1377,2133
12099000303,1377,2156
12021011213,1376,2411
36047061004,1376,2885
06073019001,1375,2217
12009066301,1375,2982
12099005943,1375,1535
12099007757,1375,2003
12035060214,1374,3578
53053072603,1373,3002
12061050708,1371,2071
39169000700,1371,3310
48201543006,1371,5498
42091206904,1370,2597
01003011202,1369,2828
21015070316,1369,2814
25023545100,1369,2943
32003005355,1369,2329
41029001602,1367,2661
06073017014,1366,1574
12053040913,1365,1720
12099005931,1365,1784
12115000700,1365,1762
09110471400,1364,2559
12069031203,1364,2643
51059431601,1364,1364
06013303210,1363,1810
08077001001,1363,2186
12117021617,1363,3364
04025001701,1362,2544
23013970200,1362,2449
36061014000,1362,3873
06065045129,1361,2281
15001021800,1361,2337
04013422624,1360,1666
04013217203,1358,2341
06053012800,1358,2318
06057000107,1358,2616
12099007749,1357,2500
12099007624,1355,1714
17031390700,1355,3474
17119403121,1354,3712
35013001205,1354,2537
04019004068,1353,2284
06059099514,1353,2238
34007607502,1353,2318
37069060501,1353,4130
06037503704,1352,1957
12061050807,1352,2353
12107950300,1352,2664
12089050203,1351,1987
06037207502,1350,2563
39153530800,1350,2804
12011020414,1349,2418
34029731205,1349,1898
42095017704,1349,2561
17031801606,1348,2800
24005408304,1348,2245
25005646101,1348,3032
04013422610,1347,1716
12009065237,1347,1854
12053040801,1347,2112
26099240400,1347,2327
12105012209,1346,2951
39035131104,1346,2453
12053040908,1345,3098
37129011701,1345,2657
12085001302,1344,2028
04013040515,1343,2039
04015953200,1343,1702
06097150304,1343,2323
15001020802,1343,2441
42101035601,1343,2308
51760070100,1343,2921
25017314301,1342,3561
34025811101,1342,2663
36029009602,1342,2654
45051060206,1342,3491
04015951401,1341,2326
06037401601,1341,2333
12085000901,1341,1577
26161423400,1341,2836
36047036002,1341,2179
36061008800,1341,4911
42003503002,1341,2947
22033004700,1340,2429
06073019105,1339,2668
48139060801,1339,3665
04013610700,1338,3077
12021010807,1338,2879
25005631800,1338,3212
12009063105,1337,3591
36061012400,1337,4910
42071011803,1337,3277
17197883213,1336,2480
32003003210,1336,1462
12021011209,1335,3489
32003003219,1335,2779
34029720001,1335,2257
06079011800,1334,2975
17031841100,1334,2952
04019004133,1333,1460
12021010113,1332,1492
25017314102,1332,3017
04013106100,1331,2699
04025001903,1331,2522
06083000101,1331,2423
12017450308,1330,2450
17097863500,1330,2096
48157673600,1330,2767
53045960500,1330,2486
08041003305,1329,3090
34031256803,1329,2210
46035962700,1329,2799
06073007100,1328,2091
12017451200,1328,1843
25023560100,1327,2974
42029302803,1327,1438
42043021901,1327,2557
04019004642,1326,2251
26163560400,1326,2930
36069050601,1326,2696
37129011705,1326,3859
12069030307,1325,2161
12099006606,1325,2250
51145500101,1325,2693
01003010800,1324,2801
05051012001,1324,2381
06037401902,1324,2837
42003451300,1324,2903
42045409902,1324,2477
48349970701,1324,2658
49053270401,1324,2883
08077001404,1323,2378
12083002504,1323,2861
12103027905,1323,2632
17031480400,1323,2357
45045002503,1323,5135
12099003514,1322,1608
25015822401,1322,2552
29189217802,1322,2634
12069030807,1321,2312
12015010200,1320,2454
12111381300,1319,2314
42069111200,1319,3076
45041000202,1319,3627
06079012306,1318,2227
45015020407,1318,4377
04013040526,1317,1426
04013216822,1317,2135
06079010707,1317,2785
12011031207,1317,2372
17031834300,1317,2571
36061019900,1317,3224
46103011300,1317,3196
12061050805,1316,2146
24033803528,1316,2619
26017285500,1316,2780
37063002100,1316,2661
55017010700,1316,3641
34025810002,1315,2103
06095252000,1314,2227
39153532902,1314,4098
06087120800,1313,2369
36061016300,1313,3384
12071050316,1312,1534
12111382201,1311,1786
17031130100,1311,1805
36005046207,1311,2919
42101028200,1311,2348
44005041300,1311,2563
51137110107,1311,2288
13111050200,1310,3255
25013813601,1310,3034
36029010902,1310,2391
36061009000,1310,4332
36081157101,1310,2479
04013615600,1309,2022
12083001103,1308,3474
17031822602,1308,3205
34021003003,1308,2554
55079150100,1308,3700
06065043810,1307,1839
24031700718,1307,3028
05005950100,1306,2346
12099007742,1306,1904
25021440101,1306,3065
29047022100,1306,3560
42003564400,1306,2721
53071920600,1306,3018
04013217001,1305,2800
06079010403,1305,1926
39153532701,1305,3237
42071012107,1305,2562
06037703100,1304,2663
12011031204,1304,1932
12111381602,1304,2212
26099227000,1304,2718
45051060204,1304,3881
12035060104,1303,2194
12099007614,1303,2325
12103026703,1303,2695
36061013700,1303,3491
36061019500,1303,3214
45051060310,1303,3050
48491020117,1303,1453
34019011100,1302,2687
36061021100,1302,4345
41047002102,1302,3081
48029191405,1301,3715
04015952802,1300,1719
31109003801,1300,2126
39109380100,1300,4155
36081028700,1299,3047
08013013402,1298,3186
12103025303,1298,2507
22105954602,1298,2893
12103025207,1297,2883
12127083006,1295,2832
25001013900,1295,2521
36081099802,1295,2787
42071010502,1295,3426
04013813700,1294,1442
09130670200,1294,2683
36059520001,1294,2498
48029191804,1294,3774
55025000205,1294,2527
12105012127,1293,3629
34025801300,1293,2522
04019004713,1292,1992
06059062625,1292,2163
12015020501,1292,2296
12099004013,1292,2037
24005411309,1292,3121
25005632200,1292,3199
12069031316,1291,3634
45057011208,1291,2397
